Material,Plant,created On,Daily_Sales,Ph1
10000319,7006,2025-07-03 00:00:00,1,10004
10000319,7006,2025-07-04 00:00:00,1,10004
10000319,7006,2025-08-19 00:00:00,2,10004
10000319,7006,2025-08-21 00:00:00,1,10004
10000319,7006,2025-09-09 00:00:00,1,10004
10000319,7006,2025-09-16 00:00:00,1,10004
10000319,7006,2025-09-17 00:00:00,1,10004
10000319,7007,2025-07-09 00:00:00,1,10004
10000319,7007,2025-07-11 00:00:00,1,10004
10000319,7007,2025-07-28 00:00:00,1,10004
10000319,7007,2025-09-04 00:00:00,1,10004
10000319,7007,2025-09-17 00:00:00,1,10004
10000319,7008,2025-08-19 00:00:00,1,10004
10000319,7008,2025-08-31 00:00:00,1,10004
10000319,7009,2025-06-26 00:00:00,1,10004
10000319,7009,2025-07-03 00:00:00,1,10004
10000319,7009,2025-07-09 00:00:00,1,10004
10000319,7009,2025-07-10 00:00:00,2,10004
10000319,7009,2025-07-12 00:00:00,1,10004
10000319,7009,2025-07-16 00:00:00,1,10004
10000319,7009,2025-08-18 00:00:00,1,10004
10000319,7009,2025-08-23 00:00:00,1,10004
10000319,7009,2025-08-31 00:00:00,-1,10004
10000319,7009,2025-09-01 00:00:00,1,10004
10000319,7009,2025-09-16 00:00:00,2,10004
10000319,7012,2025-06-26 00:00:00,1,10004
10000319,7012,2025-06-29 00:00:00,1,10004
10000319,7012,2025-06-30 00:00:00,1,10004
10000319,7012,2025-07-08 00:00:00,2,10004
10000319,7012,2025-07-09 00:00:00,1,10004
10000319,7012,2025-07-11 00:00:00,1,10004
10000319,7012,2025-07-16 00:00:00,1,10004
10000319,7012,2025-07-18 00:00:00,1,10004
10000319,7012,2025-07-22 00:00:00,1,10004
10000319,7015,2025-07-14 00:00:00,1,10004
10000319,7015,2025-07-17 00:00:00,1,10004
10000319,7015,2025-07-21 00:00:00,1,10004
10000319,7015,2025-07-28 00:00:00,1,10004
10000319,7015,2025-08-14 00:00:00,1,10004
10000319,7015,2025-08-20 00:00:00,1,10004
10000319,7015,2025-08-26 00:00:00,1,10004
10000319,7015,2025-08-27 00:00:00,1,10004
10000319,7015,2025-09-12 00:00:00,1,10004
10000319,7015,2025-09-16 00:00:00,1,10004
10000319,7015,2025-09-18 00:00:00,1,10004
10000319,7015,2025-09-22 00:00:00,1,10004
10000319,7017,2025-09-01 00:00:00,1,10004
10000319,7017,2025-09-10 00:00:00,1,10004
10000319,7017,2025-09-16 00:00:00,1,10004
10000319,7019,2025-06-22 00:00:00,1,10004
10000319,7019,2025-06-24 00:00:00,1,10004
10000319,7019,2025-06-28 00:00:00,1,10004
10000319,7019,2025-06-30 00:00:00,1,10004
10000319,7019,2025-07-01 00:00:00,1,10004
10000319,7019,2025-09-04 00:00:00,1,10004
10000319,7019,2025-09-15 00:00:00,1,10004
10000319,7033,2025-09-21 00:00:00,1,10004
10000319,7034,2025-09-08 00:00:00,1,10004
10000319,7049,2025-06-26 00:00:00,1,10004
10000319,7049,2025-07-21 00:00:00,1,10004
10000319,7049,2025-07-28 00:00:00,1,10004
10000319,7049,2025-07-31 00:00:00,1,10004
10000319,7049,2025-08-05 00:00:00,1,10004
10000319,7049,2025-08-07 00:00:00,1,10004
10000319,7049,2025-08-21 00:00:00,1,10004
10000319,7049,2025-08-26 00:00:00,1,10004
10000319,7049,2025-09-16 00:00:00,3,10004
